gene,logFC,pvalue
GENE0000,2.157123666297637,0.04134022755877631
GENE0001,1.0062155426995536,0.016070475091427526
GENE0002,-2.0806428558330046,0.0447866091019604
GENE0003,-1.8616546003349905,0.01952116376883474
GENE0004,-1.7390292171915511,0.0006407988088668882
GENE0005,-1.7630835395441062,0.04527856062332126
GENE0006,-0.6399154167051906,0.004655205171628065
GENE0007,2.4656400595580994,0.0160337505157617
GENE0008,1.4245032112888487,0.047508092155835166
GENE0009,1.043359877671101,0.04753529663218405
GENE0010,-2.4079051424827194,0.028714550617351977
GENE0011,-1.6717231956830851,0.031628676887272986
GENE0012,2.1643755548298422,0.022477431546718156
GENE0013,-2.584339018809766,0.014731217507733419
GENE0014,2.3692332899977053,0.016500360813958805
GENE0015,1.2607390048162863,0.03365867095824422
GENE0016,2.1878490091728358,0.037643489018940234
GENE0017,-1.588969920002755,0.03959979428191984
GENE0018,1.9820869804450243,0.03950194532544824
GENE0019,-2.1610307581028376,0.004651184542129649
GENE0020,-1.8838731514194982,0.024771573204658816
GENE0021,2.043523534119086,0.0029721821248305494
GENE0022,-2.283148864801386,0.027521491227954404
GENE0023,-1.8747535748270616,0.022132372018531514
GENE0024,1.020164938060112,0.044396438719639164
GENE0025,1.8541531251033616,0.017610659126348727
GENE0026,-2.595651748601324,0.005941644119737533
GENE0027,2.732824384460777,0.00723528493443651
GENE0028,1.7278086377374087,0.03809938052270187
GENE0029,-2.4285787782081414,0.030949081359481427
GENE0030,0.6901274479551278,0.005146021538527234
GENE0031,-1.829424012591678,0.004296929625138372
GENE0032,1.7682911535937689,0.03507835965981009
GENE0033,2.782321827907003,0.003730874017573257
GENE0034,2.7896064077536957,0.04111081695858878
GENE0035,1.890164056081244,0.035341487135109165
GENE0036,-1.9934990540610464,0.0041593041540307985
GENE0037,-1.0671127444276216,0.0043334019328510765
GENE0038,2.085684140594985,0.04933331496720866
GENE0039,1.8039459234339212,0.018776112708230402
GENE0040,-1.8534637633506594,0.018595043138637857
GENE0041,-2.2103226613826794,0.04065869840614938
GENE0042,-1.970895640777,0.04736770401145455
GENE0043,1.7408648908631763,0.04930145308476126
GENE0044,-2.4447572148127614,0.03769357144442119
GENE0045,2.180697802754207,0.018875353317992696
GENE0046,1.6400778958026456,0.004266685763263571
GENE0047,1.6991466938853015,0.0388796311047791
GENE0048,2.165631715701782,0.02796437206181667
GENE0049,-1.8862700326979354,0.021268678261424114
GENE0050,2.148060138532288,0.045327083816227326
GENE0051,1.8494481522053556,0.005648754367076952
GENE0052,-1.7633811877132275,0.02468199270411387
GENE0053,2.045880388267751,0.0006665468738942116
GENE0054,2.0984306179345618,0.0234861660355069
GENE0055,-2.6154321582169775,0.0029095334565236836
GENE0056,-1.9657185125969863,0.006029014021776789
GENE0057,2.3238442690503462,0.0059645597141775334
GENE0058,2.501766448946012,0.03249559407559158
GENE0059,2.104431797502378,0.03732763947534463
GENE0060,-1.913409537074409,0.029210101378348265
GENE0061,1.8827064333124266,0.04811241016887965
GENE0062,-1.8073413101355815,0.018806041918232833
GENE0063,-2.132328416618978,0.01435703310546485
GENE0064,2.457701058851037,0.04344309649665407
GENE0065,2.4112724560515946,0.011257432342120685
GENE0066,-2.4233968590342023,0.048164804718086505
GENE0067,-0.9047721870950107,0.0007065082870218354
GENE0068,2.7690182832329846,0.04849695345271119
GENE0069,-1.5718006028382638,0.0022536796063337477
GENE0070,1.9308678494144076,0.04456804137353375
GENE0071,1.2876259068932716,0.026432285343406362
GENE0072,-2.618475355439041,0.04964894332635309
GENE0073,2.761514928204013,0.003782448580296403
GENE0074,2.178556285755873,0.027737328791625906
GENE0075,-1.9698848950294867,0.048468196527393044
GENE0076,-1.2986028445319504,0.026202582424090425
GENE0077,-1.7587637923784074,0.03150699204294961
GENE0078,2.738947022370758,0.0348178595803324
GENE0079,-2.6228693893559942,0.022781599131911884
GENE0080,-1.4285885927424897,0.031415148196194766
GENE0081,2.0485387746740202,0.0292572841649627
GENE0082,2.2712800217929825,0.04506778472350035
GENE0083,-1.9501743174561794,0.0023677743790387474
GENE0084,1.993251387631033,0.014120063160652292
GENE0085,-1.8929531279348981,0.04752553305542028
GENE0086,1.5957531985534061,0.044524162816156725
GENE0087,-1.5183119353778392,0.022837271964007075
GENE0088,-2.357175709013184,0.031044616630296683
GENE0089,-2.037222957883084,0.01394132103075852
GENE0090,-1.6090885641113448,0.00948724587021569
GENE0091,-2.5714851489153117,0.023238550406505108
GENE0092,-1.8700586028757882,0.017732276178500036
GENE0093,-1.0569070493947348,0.029224439981358517
GENE0094,-1.7632037846824091,0.003978958384552743
GENE0095,1.8504963247670663,0.04872230090254171
GENE0096,1.6996806550405976,0.04931191614953219
GENE0097,-2.535446249030556,0.034938269529585286
GENE0098,-2.4419287181005664,0.026851208680571607
GENE0099,-1.0516035086730264,0.015545428052687753
GENE0100,-2.0132569377246083,0.04070837148337674
GENE0101,-2.2232574760335106,0.03426808551043858
GENE0102,2.410951252187612,0.008214585273310076
GENE0103,1.963994939209833,0.04555526650624274
GENE0104,1.6489734530613238,0.04114460842186614
GENE0105,1.887111849756732,0.04749501567326701
GENE0106,2.180818012523817,0.03631340346857916
GENE0107,-1.2250327974912303,0.030709418277195914
GENE0108,1.4018966879596646,0.02097032751090188
GENE0109,-2.4103411591758555,0.046643151319365264
GENE0110,1.760412881077355,0.04331658808607038
GENE0111,1.7188562353795136,0.0023564116382988514
GENE0112,-1.6044840264784765,0.001415712027412875
GENE0113,-2.6602283065421384,0.018885522007214675
GENE0114,-1.923137447027236,0.040546611206013466
GENE0115,1.7351198981164806,0.049365078852815734
GENE0116,2.5285611131094576,0.007605802866066057
GENE0117,1.2682425259339407,0.02974712269607154
GENE0118,1.4711445355220498,0.019106453745887972
GENE0119,-2.9593856076495206,0.0484987284509487
GENE0120,-1.593241391315165,0.04212173426447187
GENE0121,-2.4546937273973697,0.04193260236508578
GENE0122,-2.5311518568630524,0.023487788673769015
GENE0123,2.2483570765056164,0.02079949316664949
GENE0124,-2.775331715533066,0.013743012889342241
GENE0125,1.7671351232148715,0.002913137282881263
GENE0126,1.765262807032524,0.04324964657512716
GENE0127,-2.495268162565344,0.040663760355590876
GENE0128,2.033764102343962,0.049985911896977916
GENE0129,1.9071705116680915,0.04983217816998788
GENE0130,-2.0173558848526216,0.02781604210957111
GENE0131,2.256633716556678,0.038472472017507475
GENE0132,-1.606457698128774,0.04724380992113316
GENE0133,-1.687166326117497,0.04249740479480284
GENE0134,1.5459879622393946,0.012442670276985562
GENE0135,-1.7936095365317508,0.022582152351973667
GENE0136,-1.6240334836566128,0.0065450548160596
GENE0137,-1.7979745715927309,0.04770714626021025
GENE0138,-2.7009255313961402,0.030348114259098915
GENE0139,-0.7683789437573569,0.01150927599462279
GENE0140,-1.642999752953954,0.03361786415185225
GENE0141,1.8074588597918417,0.030944599198849
GENE0142,2.5154997612479755,0.01797231962983874
GENE0143,-2.757423612342932,0.005766523850761488
GENE0144,1.7696806145201063,0.033611502460080704
GENE0145,1.8361689267011159,0.026063354275099284
GENE0146,-1.8492263288331938,0.038638687747608404
GENE0147,-1.8712248046386177,0.02605615870548847
GENE0148,1.8829315215254097,0.042623856865895156
GENE0149,-2.171357258263385,0.02764015125484683
GENE0150,1.882923312638332,0.028090804779615775
GENE0151,-1.9127110935840805,0.04384501477265142
GENE0152,-2.1117313926629255,0.02023379502399861
GENE0153,1.6615389998470207,0.006787359899686973
GENE0154,-1.2732329614213416,0.0015362555480356148
GENE0155,-2.707685371025207,0.03778134905811359
GENE0156,2.305838144420434,0.031053446612537887
GENE0157,1.1375410837434836,0.03523358042815126
GENE0158,1.6774401226974378,0.010726911659294645
GENE0159,2.1718091447842305,0.006904936631779811
GENE0160,-2.1226940580014353,0.0008257788168273083
GENE0161,-1.420702210496298,0.01759431918444919
GENE0162,1.8453938120743927,0.02953689257404619
GENE0163,-1.8515076633834069,0.01967297785047664
GENE0164,-1.7065714530998648,0.02192999860898408
GENE0165,1.446832512996986,0.04521751885523805
GENE0166,-2.0364144563284365,0.017477947804462688
GENE0167,2.1620419846973977,0.02574807550907456
GENE0168,1.7491214782077318,0.03920428533578304
