gene,logFC,pvalue
GSN,-5.875911486333461,9.894416555074381e-09
DENND1B,1.1817866608483047,1.6204211199980193e-08
PER2,-2.2346391788598803,2.2146464855087523e-08
KRTAP5-8,-1.448448647883685,6.543845841539361e-08
RNF34,0.5298712265470122,9.559708780912097e-08
TGFBR2,-3.8070234117799098,1.1612636783932853e-07
SLC7A8,-3.828184940722068,1.5401586156753168e-07
HMGN4,0.54958924847889,1.6973317684831697e-07
IRF9,0.5245905071869128,1.884697134684454e-07
APP,-1.980360406594369,2.0156004807317298e-07
NUMA1,-4.333743396806995,3.6461736972672137e-07
UNC45A,-1.828922255056128,4.046865244032558e-07
ADAM15,-1.6602758316367812,4.609510076484764e-07
NAB2,-1.939682774228392,5.539207707381158e-07
PI4K2A,-1.9207160896342608,6.641619958734347e-07
SH2D1A,3.914533665564077,7.026580696612781e-07
HADHA,-1.6975269382115687,8.300308342545744e-07
PSMB9,1.410454536747574,8.506550143661766e-07
FRYL,0.712502728299194,9.897572795412049e-07
CSNK2A1,-1.1439608335689462,1.1418752401527611e-06
AIM1,0.9869058740535532,1.2023939655018875e-06
TMEM259,-2.57851511024448,1.298154756903869e-06
TOP1,-1.5179825380476366,1.4099550681740292e-06
ADAMDEC1,3.927819976303036,1.6777326682420176e-06
CXCL9,3.471704783315861,1.7539319231499417e-06
ENG,-2.933962024447128,1.8128239190319675e-06
PLCG2,1.095720769064501,1.8626488323709245e-06
CXCL13,5.779445835044449,1.9421669600340565e-06
CXCL10,2.9723810136569053,1.9645594879205515e-06
PGAM1,0.4313130407679839,2.2257676754086126e-06
KCNQ2,2.178536571328051,2.275126420653436e-06
SRPR,-3.529165372541458,2.366669470965715e-06
HCP5,1.7042139548063275,2.522190713669789e-06
SPTBN1,-3.712095082813184,3.123978500234299e-06
GABARAPL1,-1.753808373502122,4.009470440066614e-06
MREG,1.468019881692627,4.623024363216868e-06
POLR2F,-0.4594371516642059,4.639438274136997e-06
RAB35,-2.858245575713916,5.176369094805726e-06
XPO7,-1.1192526077325526,5.4205858520090185e-06
MRPL57,-0.8307711910089974,5.586640180254637e-06
ID2,-0.8046771184497796,5.626336321591336e-06
ALG6,0.6490544565099086,5.901030220091421e-06
ANAPC5,-1.5684926597839013,6.0223491251456805e-06
AGA,0.992057472898722,6.118905743407861e-06
FERMT2,-1.4095168245508978,6.166662999053048e-06
ARHGAP1,-1.3632863534824755,6.603895377601331e-06
PDK1,2.359187870997584,6.757385922236997e-06
ECT2,0.9480750709556168,7.175532735406783e-06
PCDHGA3,-3.759755215138747,8.328369020102906e-06
TAP1,1.7805420077510965,8.691060447340743e-06
E2F3,-0.8626521969106955,8.782913158782891e-06
PRPF6,-2.020734752959954,8.83154923539636e-06
OGFR,-2.7007442754615942,9.029131738328995e-06
DUSP1,-4.530451674374156,9.03785038751548e-06
HNRNPUL2,-0.8429849476566904,9.387834816425173e-06
IGLV1-44,4.149580192036867,1.091907258797598e-05
EZR,-2.584890197890303,1.173680408229162e-05
FOSL2,-2.0563022920704297,1.1941345058426224e-05
PTPRA,-2.580163828620533,1.2372425158576135e-05
TMPO,0.9812693261732566,1.384050394643708e-05
SNRNP70,-2.756899744628168,1.4766134653235148e-05
THOC2,-0.6885441401774663,1.4834665813443993e-05
CSPP1,-1.2596359958488632,1.4892091555498432e-05
PNRC1,-0.9796113958314764,1.501347287717798e-05
CSF1,-2.5801149799920298,1.5079204014037102e-05
ZNF24,-0.7708565392671343,1.547263254112807e-05
RANBP9,0.5635237945372324,1.596236971162009e-05
MCL1,-3.419786947194408,1.617259739294629e-05
SEL1L3,1.916359509417089,1.640652295786694e-05
MFN2,-1.2508107943356466,1.70898622736412e-05
FOXJ3,-0.7327263998538287,1.7993327249177496e-05
EIF4G2,-2.0669993619685565,1.8216095492099576e-05
RFC1,0.5100287879325567,1.9100902049667512e-05
PTMA,-0.4844790693530214,1.914432769305828e-05
IGKC,3.794283978729105,1.9786435584967265e-05
IDH3B,-0.6641815817359831,2.0143421769501987e-05
C16ORF58,-1.017767637519066,2.0182440108206448e-05
TTF1,-0.5824764996444323,2.0495871940982368e-05
CYP1B1,-3.698084817204841,2.099254105469648e-05
COL6A1,-3.2362709442348416,2.172820406192114e-05
ZBTB7C,-2.8569916450735366,2.238550788219461e-05
IL21R,3.3215233528912727,2.302842126972672e-05
C6ORF106,-1.3065500790460174,2.353568658847931e-05
HTATSF1,-2.788852495952402,2.357193561671413e-05
