gene,logFC,pvalue
PER2,-2.20769095792366,3.0051466719420054e-08
DENND1B,1.184238725274767,6.593297789595997e-08
GSN,-5.851221706410514,7.049115327285277e-08
SLC7A8,-3.984471088651464,1.1867681449786857e-07
RNF34,0.5185814528501513,2.784891362626839e-07
UNC45A,-1.915503754278001,3.1130918798578813e-07
IRF9,0.5005298265473268,4.3984779774492923e-07
KRTAP5-8,-1.4412420369208467,4.504844849489188e-07
HMGN4,0.5435820240666125,5.202329138327772e-07
NAB2,-1.9736648709553508,5.854409085019453e-07
TGFBR2,-3.8335020008994136,6.104026165907983e-07
FRYL,0.725209276504815,7.932317617309106e-07
NUMA1,-4.341325079313346,9.004547654321085e-07
SH2D1A,3.911751905912,9.3583996612202e-07
APP,-1.98155210506128,1.0747718453113364e-06
PI4K2A,-1.9378969183562849,1.3450072173769848e-06
ADAM15,-1.638415695279546,1.7087773587159231e-06
PSMB9,1.3535602762327326,2.404522984639476e-06
AIM1,0.9933729630619724,2.537294579018185e-06
HADHA,-1.6645865489268274,3.667534551281599e-06
HCP5,1.7148462034259495,4.038097428416905e-06
PGAM1,0.4287153828093597,4.74999726609622e-06
GABARAPL1,-1.7337978089955044,4.845755168649804e-06
CSNK2A1,-1.146203715815055,4.984967114347329e-06
PLCG2,1.0529654957655552,5.079655662239463e-06
CXCL9,3.368727362633656,5.824324890225475e-06
MRPL57,-0.8680396422780365,6.059004634744688e-06
TMEM259,-2.566854572558502,6.374311828066163e-06
ADAMDEC1,3.795316146951073,6.4706259718556056e-06
TOP1,-1.4902199696610827,6.638542156668153e-06
ID2,-0.8009005067776034,7.245710405741754e-06
CXCL10,2.910445216861307,7.564651097454716e-06
ENG,-2.878246428696147,8.677982101145944e-06
POLR2F,-0.4436892872775662,8.770058674921727e-06
KCNQ2,2.10657905247414,8.7834697943358e-06
CXCL13,5.670721988473327,9.17567867632234e-06
AGA,1.002137496237391,1.0366669783918856e-05
E2F3,-0.8894410908890089,1.0569723966513354e-05
SRPR,-3.4491958637492006,1.104720776288098e-05
FOXJ3,-0.7731193519413067,1.141942560250592e-05
ALG6,0.6210221285264925,1.1680013838902504e-05
MREG,1.4135908154619274,1.1755249378191422e-05
FERMT2,-1.3451031589806908,1.2142837058616148e-05
SPTBN1,-3.6722747539701768,1.2435498181877965e-05
XPO7,-1.0724606027894774,1.7493544183370085e-05
ANAPC5,-1.57233507479099,1.8974006030111565e-05
ARHGAP1,-1.3603907830308666,1.984523741768888e-05
FUT4,0.9156382903311188,2.0164838389967e-05
PRPF6,-2.045439539196738,2.0619079689945384e-05
RAB35,-2.766452797039016,2.118485541083917e-05
ZBTB7C,-2.851668745081512,2.1332216557774973e-05
ECT2,0.9545442594309614,2.2008601177841764e-05
PDK1,2.2884666988446165,2.2050411382280228e-05
OGFR,-2.627577995224051,2.360479100432551e-05
JUN,-3.4163281362531324,2.392926909997419e-05
FOSL2,-1.9314430772964224,2.415046004903204e-05
HNRNPUL2,-0.8128863846813621,2.55356789811816e-05
BRD7,0.4016152365666681,2.5711788864263675e-05
PCDHGA3,-3.715102112448288,2.591075700095308e-05
TAP1,1.7300756812039673,2.644173140700648e-05
PRODH2,-1.1588073312882656,2.790855065031732e-05
DUSP1,-4.415397491791031,2.836655265241628e-05
SNRNP70,-2.7419292043620174,3.003712609422104e-05
CSF1,-2.5523723977874937,3.203039417180156e-05
BIRC3,1.6132507895673225,3.428760856244753e-05
TMPO,0.9395358946443793,3.431737335199727e-05
IGLV1-44,3.9530573087274297,3.4537805158840226e-05
CYP1B1,-3.680865755825183,3.595574754823574e-05
ZNF24,-0.7636982436253952,3.866800935938549e-05
C16ORF58,-1.0238352025520312,3.899282932394968e-05
RFC1,0.499970247581512,3.919202981972249e-05
EZR,-2.5181247791413943,4.25290677452141e-05
IGKC,3.656329333910049,4.4195952632708414e-05
CSPP1,-1.2035750460859562,4.636464093644212e-05
AP5M1,0.5233520421649267,4.664537945896909e-05
PNRC1,-0.9687377532395748,4.720400852233447e-05
PTPRA,-2.520088685672873,4.9714738491036944e-05
RPL18,-0.6324405390125092,5.047913274239455e-05
THOC2,-0.6786261383931205,5.091951128087183e-05
ADPGK,0.5195533777570702,5.0999343081062526e-05
VOPP1,1.091771783250948,5.110785026157851e-05
IDH3B,-0.6720277267932406,5.237527988501305e-05
HES1,-1.7166259189605029,5.317859085893409e-05
PTMA,-0.4781425716620742,5.444620548013731e-05
MCL1,-3.3666339278790343,5.61673055065825e-05
GRK1,-1.2901166754607507,5.669921287381961e-05
IL21R,3.2894468489149435,5.714715666326307e-05
EIF4G2,-2.0391305003405606,5.780786022748685e-05
TNKS2,-1.7266757944173785,5.821167374740665e-05
TTF1,-0.5504268417740104,5.914754648582358e-05
MFN2,-1.2385606182028148,5.940819323508967e-05
MEG3,-1.740327821597199,5.944477120146459e-05
SEL1L3,1.8414154126101376,5.978601491923966e-05
RANBP9,0.5472917041838787,6.107382583659979e-05
FBXW4P1,-2.179732301020847,6.267557218571352e-05
CAMTA1,1.757716347753984,6.295269384765392e-05
PRKACB,1.025651826687204,6.429224538856406e-05
NPHP4,-1.0306286600556716,6.499500762806227e-05
P2RX6,-1.7389164992565944,6.79394262200056e-05
HTATSF1,-2.6867672621423933,6.895280698848454e-05
PANK2,0.5917233329944089,7.015341646843963e-05
WISP3,1.828617813132074,7.082179952647346e-05
GVINP1,1.1470360979998215,7.119613507096468e-05
C6ORF106,-1.279357340442039,7.173748948299054e-05
CCDC88C,2.379602083615485,7.274166114412899e-05
SLC4A1AP,0.4112726629898127,7.324776947044156e-05
POLR2E,-0.8075270028615034,7.47418311631424e-05
GTF2F1,-1.6123096988293837,7.517323575364388e-05
SYT11,0.8210165360106298,7.648504277890792e-05
EIF4G1,-1.2923072291760525,7.703933783623885e-05
SFSWAP,-2.446639887855535,7.869743402273473e-05
TGFBRAP1,-2.110134265692813,8.09480650478436e-05
COL6A1,-3.1576097389756974,8.20318626578928e-05
B4GALT2,-0.518723031882697,8.499527046903714e-05
TRIM22,0.8011324374083042,8.574433317946894e-05
CXCL11,3.372923855796611,8.65675666270319e-05
IGF1R,-1.3219949400169098,9.003004771845196e-05
GIMAP4,1.3610491256678454,9.01925088597466e-05
GHSR,-1.027581690116286,9.11945947052276e-05
ADD1,-1.1660991158506082,9.275053048417887e-05
ADAM28,3.9623618315003855,9.277205795945436e-05
GLYR1,-2.2635410392917903,9.29841072990608e-05
UBC,-0.3541639884937204,9.725448004617696e-05
APBA2,2.055043845027508,9.728042248153718e-05
FAS,1.3288201214822708,9.861103919082927e-05
CNTRL,0.5604225987507947,0.0001027996616335
JTB,0.4491496348021151,0.0001061814555929
SLAMF8,2.6008211550148017,0.0001122006784523
EPN1,-1.2374100738439475,0.0001145179483349
PRKX,1.0443474428816302,0.0001147079554174
DDR2,-1.0460434279635678,0.0001153199607558
TNFRSF14,0.7638490054630553,0.0001180902423484
TCHH,-1.4125878627167283,0.000118560786452
CD27,2.1878938129817,0.0001186989622877
BMP6,-0.8185005246329111,0.0001195143897139
PIK3CB,0.9060040250987722,0.0001200495328285
MALT1,1.0227357943462607,0.0001210231417961
CDH1,2.655631121082371,0.0001211080537183
AKT2,-2.0251319763097486,0.0001219893145357
EEF1D,-0.6526255285744966,0.0001261833263521
ELOVL2,2.149588667056469,0.0001277459274691
SRRT,-2.19573534128068,0.0001283328621468
TXNIP,-2.015840625331382,0.0001290289105663
NFE2L3,1.114511091136282,0.0001294131059948
POLB,0.6811523831213808,0.0001305061881834
LRP1,-0.7974041417942797,0.0001360133307876
GLOD4,0.4412014496901992,0.0001362223384695
ACAP1,2.989656607363428,0.0001386996086331
SF3B1,-1.0360469988487413,0.0001405922695179
EPRS,-2.4478757060406577,0.0001439260362432
LRCH1,-1.806307046565884,0.0001440533253246
SLC12A8,1.3757469260881503,0.0001455069291814
THAP3,-1.543535008253822,0.000146822955241
TUBGCP2,-1.2167083852777774,0.0001507648750612
ZDHHC6,0.5564792579598183,0.0001543986353476
TBC1D9,1.081369843091032,0.0001549344911456
PDK3,2.394804238810112,0.0001619949247203
LSM14A,-0.6161464506077312,0.0001659714734602
FBXW11,-0.8198612019211202,0.0001712702812013
UBE2L6,0.8168876002988412,0.0001718332042707
BTN2A2,1.4788054297321611,0.0001735348352128
CAMKK2,-2.135901012684512,0.0001737013956422
RTN1,0.9825394713750556,0.0001772507324952
DNAJB6,0.4709380091882771,0.0001784470171022
CYTH1,-1.4015509772056118,0.0001803861207409
PTTG1,0.9254154718656072,0.0001843741781162
ICAM2,0.7172536380298205,0.0001856132861098
SRRM2,-1.4554291197770084,0.0001865321436847
TRIM21,0.6575429053056894,0.0001866955889692
CYFIP2,1.5204646870819207,0.0001877797038652
RAB3GAP1,-0.6645615136000584,0.0001920623478914
RPL38,-0.719631811376404,0.0001952123662967
OBFC1,0.7115060915350355,0.0001970115179615
STX16,-1.747424311672285,0.0002007153020935
LUC7L3,-1.0545587237630354,0.0002010790055116
RALBP1,0.7253744554988,0.000202621859733
IL1R1,-2.592576442316094,0.0002061658423238
GNPTAB,0.9670093445906698,0.0002076381396603
BTG2,-1.858534304867276,0.0002078024949795
KMO,1.2572377875033185,0.0002119935727545
IKBKB,-2.2098915587280388,0.0002166549274046
TRRAP,0.8142739827073111,0.0002180631324336
FKBP5,-3.911496988973688,0.0002181527784636
EPAS1,-1.941107332179043,0.0002184709563204
MAFK,-1.642948860862694,0.0002187948271776
KCNJ3,1.662832948745676,0.0002194366085833
ATP6V0E1,-1.1103152965508123,0.0002259462325681
ATXN7L3B,-1.614035961380024,0.0002297315318001
CADM3,1.8782532563228795,0.0002304766842925
RMI1,0.9550639599281024,0.0002355851129347
UBL3,0.7885339452497213,0.0002379955297512
GGH,1.040575315438354,0.0002402777445133
HSF1,-0.699809992493404,0.0002455409713548
EGFR,-1.3548258625682728,0.0002463083173091
IGLL3P,2.821029690563577,0.0002466681665617
FNDC4,-2.037483682914986,0.0002468832337124
PPAP2B,-1.6022559155102556,0.0002473987604518
CELF1,-1.6470035717624096,0.0002511897056404
ADRBK1,-1.337364678143154,0.0002528306138514
CACTIN,-0.6306036445826413,0.0002609448901194
FXR1,-0.6106085816182407,0.00026115045302
TRAT1,3.0170496428748885,0.0002628552101122
CD79B,1.366258482903384,0.000263374330321
LTBP4,-2.8837834856412403,0.0002653573625901
KITLG,-2.1807908545255588,0.0002660708615248
ILF3,-1.905808385895596,0.0002671267998843
IL2RG,1.839383307649692,0.0002688409023025
ZFP64,0.6889455674244305,0.0002755699860758
IGLL5,2.9094398600727303,0.0002774200505575
HLA-DOB,2.74072557921523,0.0002808207575929
CD79A,2.4625208337060105,0.0002819028537014
LRRC42,0.5000310265735095,0.0002846419440224
SAT1,-0.745604342587729,0.0002905590249594
ARNTL2,0.9419030955057296,0.0002923922023305
ZNF253,0.3076513424315834,0.0002926534504165
LY75,1.1681053583971632,0.0002995437924931
EDNRB,-1.4587391231105942,0.000300189058687
FUS,-1.0982540882737446,0.0003003456959632
BHLHE41,1.4169798546450334,0.0003012319914154
AFTPH,0.3775218446941455,0.0003013179083131
TXNDC15,0.6709966187241712,0.0003028873249218
ZFP36L2,-1.6750777035488025,0.0003037452339205
CES1P1,-1.807798592573672,0.0003056479136302
Y16709,-0.479563166886825,0.0003057954969921
SERINC2,1.4443806261916938,0.0003087771304139
MAPK14,-1.6550858528434738,0.0003125771418258
KLK2,-1.6137598347621047,0.00031283440765
CCNB1,0.9448153610638848,0.0003148183504113
DNAJC10,0.6576714153899639,0.0003149740986944
ITGA4,2.6230987083333828,0.0003170540351748
ITGB4,-1.1955825691583444,0.0003222734989932
CBFA2T3,0.7572661609075206,0.000323537908821
SLC9A5,-1.5146278656628942,0.0003269654715463
TNS3,0.7122975957272786,0.0003274573028498
RPL14,-1.9157435782655776,0.0003334104058108
IFI16,-1.205855654000521,0.0003340096921226
IL15RA,0.8122556443617448,0.0003364887842302
ADCY2,-2.436231597533948,0.0003385692125361
LRRC3,-1.7309592483606695,0.0003416237282832
SECISBP2L,-0.8355125930038216,0.000343848522457
WIZ,-1.5794954099373362,0.0003460171807916
OAS2,0.8952470719739392,0.0003519493314948
CCDC9,-0.3899818395507086,0.0003521384174222
IL1RL2,-1.969320171858344,0.000352996850373
RFTN1,0.8470543479177106,0.0003532707197752
ENTPD1,0.9623640972217,0.0003534745415148
TNFRSF17,4.511281827265044,0.0003547044988811
TNFAIP8,1.1644506309653693,0.000357425346423
FAH,-0.9841557903645696,0.0003599970756476
PTTG1IP,0.426221222194906,0.000363689430915
UPF1,-1.1228852906311513,0.000365042201356
EXOC2,0.7398035668185372,0.0003650434345127
TMEM156,2.142025224531803,0.0003652623221206
CSF2,-1.254916081614022,0.0003683100173548
TSR1,-0.8304819432902981,0.0003737732429523
BTN3A1,0.9121693343507716,0.0003748671735329
CTC-425F1.4,-0.8093032239313303,0.0003766875413993
TKT,-0.8781442508984139,0.0003803509797591
RBM25,-1.0064239315590369,0.000384020256123
PLEC,-1.978188218315656,0.000386041492418
PXN,-2.795063344237416,0.0003934010889551
MYO9B,-0.9973923929725564,0.000394112419739
MAST2,-2.323806918885877,0.0003973702043787
RGS12,-1.9430151776216265,0.0003987893611234
ASXL1,-0.4496888947936259,0.0003996578798903
HRH1,-1.0433157033743925,0.0004002658262317
JUNB,-1.7562288603842706,0.0004079139026994
SEPT9,-2.8319782531273066,0.0004131267257739
DRAM1,0.9513006491976714,0.0004166269692992
FAM69A,0.6876596626554026,0.0004175584636539
TEX261,-1.7011562693573357,0.0004179076744512
SYNGR2,0.7831366514860196,0.0004188392150767
PTPN7,1.7771158186036438,0.0004251536196388
MAU2,-1.8172469227939791,0.000427756483908
ADCY6,-0.6074354597975642,0.0004278467718866
LAMP1,-1.4029608920042556,0.0004296504298735
SLC24A3,1.31994045398089,0.0004314165611359
ZNRF4,-1.4341701619445066,0.0004329565381057
CLUH,-0.6075279663661277,0.0004334542777453
CMAS,0.6417804980306672,0.0004338382033693
SEMA4A,0.9918273520446412,0.0004350145488368
TNFRSF4,2.045784026649093,0.0004353088845648
EGR1,-2.272895385804292,0.0004356412272012
TRBC1,2.1970674779518937,0.0004395238569146
IGLC1,3.5047962550667524,0.0004435666422128
IL4,1.7780131432932365,0.0004449028622067
MRPL18,0.3217059343490209,0.0004481711014336
PHF11,0.4892256697260944,0.000452948964025
AAMP,-0.4682547305040447,0.0004551716220122
GCH1,1.2046123091267074,0.000455931681299
NLRP2,1.5351335090060312,0.0004563799028628
LGALS2,2.329739391576683,0.0004651964650541
IGLJ3,2.8953206578328103,0.0004690157300218
CASP1,0.7711155184282497,0.0004705475216834
GAS8,-0.9864545031744152,0.0004716813101148
ITGA7,-1.3226393432725487,0.0004720884457104
TCF7L2,-1.2978940758284123,0.0004744065838642
FBXW12,-1.4682223320461605,0.0004771956287465
TBL1X,-1.3125543140957472,0.0004815756931206
AIM2,2.468327892757735,0.0004826248081252
ANKRD11,-1.5445356832468295,0.0004898218276717
CARD10,0.9590849305153936,0.0004920522916473
NFKBIE,0.9056678905092514,0.0004946589760425
UBAC1,0.564399896827263,0.0004959951478926
IGK,2.994519228693388,0.0004966405544314
TRA2B,-1.5140546312533143,0.0004976182786332
PRDM2,-1.540795650377042,0.0004979873574392
SPA17,0.5958135208331887,0.0005018176154263
NADK,-1.488426377245215,0.000505478980005
HSPA4,-1.3172607328368908,0.0005056118419151
PAPSS2,0.6744323837180275,0.0005056616552014
CD72,2.2237626908380816,0.0005059821961297
NR3C1,0.677977788493509,0.0005080941507901
LRRC15,2.449407923753583,0.0005090402165475
KIF14,0.8586976834053983,0.000510399906227
LAX1,1.5895363481406086,0.0005137892821039
TMSB10,0.4144447569966605,0.0005179978626986
FAM63B,0.9925322940981828,0.0005266129405941
TOX,1.6062262834357537,0.0005286707565552
SH3BP5,-0.7305293877649728,0.0005324402140661
DNMT1,0.5546164057357181,0.0005343162740295
LOC102723479,1.7539471977142664,0.0005370516895706
GZMK,2.5381131531014463,0.0005447883784592
GZMH,2.254781208176447,0.0005473364579838
PRR13,0.4925566090244366,0.0005537625245147
DIP2C,-0.5334223996702168,0.0005545921918581
