gene,logFC,pvalue
GSN,-5.875911486333459,9.894416555074406e-09
DENND1B,1.1817866608483065,1.620421119997971e-08
PER2,-2.2346391788598807,2.2146464855087517e-08
KRTAP5-8,-1.4484486478836853,6.543845841539261e-08
RNF34,0.5298712265470122,9.55970878091183e-08
TGFBR2,-3.8070234117799115,1.1612636783932791e-07
SLC7A8,-3.8281849407220685,1.5401586156753091e-07
HMGN4,0.5495892484788882,1.69733176848322e-07
IRF9,0.5245905071869128,1.884697134684375e-07
APP,-1.9803604065943734,2.0156004807316382e-07
NUMA1,-4.333743396806996,3.646173697267177e-07
UNC45A,-1.8289222550561242,4.04686524403266e-07
ADAM15,-1.6602758316367812,4.6095100764847615e-07
NAB2,-1.9396827742283929,5.539207707381031e-07
PI4K2A,-1.9207160896342614,6.641619958734349e-07
SH2D1A,3.9145336655640808,7.026580696612696e-07
HADHA,-1.697526938211567,8.300308342545829e-07
PSMB9,1.410454536747574,8.506550143661681e-07
PCDHGA10,-4.744898172719076,9.324899397132767e-07
FRYL,0.7125027282991923,9.897572795412763e-07
CSNK2A1,-1.1439608335689417,1.1418752401528465e-06
AIM1,0.9869058740535532,1.2023939655018818e-06
TOP1,-1.517982538047634,1.409955068174061e-06
ADAMDEC1,3.927819976303036,1.6777326682420136e-06
CXCL9,3.471704783315861,1.7539319231499358e-06
ENG,-2.933962024447128,1.812823919031973e-06
PLCG2,1.095720769064501,1.86264883237092e-06
CXCL13,5.779445835044447,1.9421669600340658e-06
CXCL10,2.9723810136569107,1.964559487920497e-06
PGAM1,0.43131304076798926,2.225767675408304e-06
KCNQ2,2.178536571328051,2.27512642065343e-06
SRPR,-3.529165372541459,2.3666694709657033e-06
HCP5,1.7042139548063258,2.5221907136698017e-06
SPTBN1,-3.7120950828131853,3.1239785002342847e-06
GABARAPL1,-1.7538083735021184,4.009470440066637e-06
GABBR1,4.18815793569003,4.571856985105767e-06
MREG,1.468019881692629,4.623024363216799e-06
POLR2F,-0.45943715166420596,4.639438274137151e-06
LOC102724250,-1.6731666571351598,4.8554826592950176e-06
RAB35,-2.8582455757139162,5.1763690948057215e-06
XPO7,-1.1192526077325553,5.420585852008818e-06
MRPL57,-0.8307711910089992,5.586640180254499e-06
