drug,indication,max_phase_for_ind
2-iminobiotin,"Hypoxia-Ischemia, Brain",2.0
2-methoxyestradiol,Multiple Myeloma,2.0
2-methoxyestradiol,Neoplasms,1.0
"3,3'-diindolylmethane",Breast Neoplasms,2.0
"3,3'-diindolylmethane",Prostatic Neoplasms,1.0
"3,3'-diindolylmethane",Uterine Cervical Neoplasms,3.0
ABT-737,Breast Neoplasms,1.0
ACY-1215,Breast Neoplasms,1.0
ACY-1215,Cholangiocarcinoma,1.0
ACY-1215,Diabetic Neuropathies,2.0
ACY-1215,Hematologic Neoplasms,1.0
ACY-1215,Klatskin Tumor,1.0
ACY-1215,"Leukemia, Lymphocytic, Chronic, B-Cell",1.0
ACY-1215,Lymphoma,1.0
ACY-1215,Multiple Myeloma,1.0
ACY-1215,Peripheral Nervous System Diseases,1.0
AEE-788,Central Nervous System Neoplasms,1.0
AEE-788,Glioblastoma,1.0
AEE-788,Neoplasms,1.0
AMD-11070,Breast Neoplasms,1.0
AMD-11070,"Carcinoma, Renal Cell",1.0
AMD-11070,HIV Infections,1.0
AMD-11070,Melanoma,1.0
AMD-11070,Neoplasms,4.0
AMD-11070,Neutropenia,3.0
AMD-11070,Waldenstrom Macroglobulinemia,1.0
AMG-208,Neoplasms,1.0
AMG-208,"Prostatic Neoplasms, Castration-Resistant",2.0
AMG-232,"Carcinoma, Merkel Cell",1.0
AMG-232,"Carcinoma, Non-Small-Cell Lung",1.0
AMG-232,Endometrial Neoplasms,2.0
AMG-232,Gliosarcoma,1.0
AMG-232,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1.0
AMG-232,"Leukemia, Myeloid, Acute",1.0
AMG-232,Melanoma,1.0
AMG-232,Multiple Myeloma,1.0
AMG-232,Myeloproliferative Disorders,1.0
AMG-232,Neoplasms,1.0
AMG-232,Plasmacytoma,1.0
AMG-232,Polycythemia Vera,2.0
AMG-232,Primary Myelofibrosis,2.0
AMG-232,Sarcoma,1.0
AMG-232,Small Cell Lung Carcinoma,2.0
AMG-232,"Thrombocythemia, Essential",2.0
AP-26113,Carcinoma,3.0
AP-26113,"Carcinoma, Non-Small-Cell Lung",4.0
AP-26113,Lung Neoplasms,3.0
AP-26113,"Lymphoma, Large-Cell, Anaplastic",2.0
AP-26113,Neoplasms,4.0
ARN-509,Liver Diseases,1.0
ARN-509,Neoplasms,4.0
ARN-509,Prostatic Neoplasms,4.0
ARN-509,"Prostatic Neoplasms, Castration-Resistant",4.0
ARN-509,Salivary Gland Neoplasms,2.0
ARRY-334543,Biliary Tract Neoplasms,2.0
ARRY-334543,Breast Neoplasms,2.0
ARRY-334543,"Carcinoma, Hepatocellular",1.0
ARRY-334543,Cholangiocarcinoma,2.0
ARRY-334543,Neoplasms,1.0
ARRY-334543,Pancreatic Neoplasms,1.0
ARRY-334543,Stomach Neoplasms,2.0
AS-703026,Adenocarcinoma,1.0
AS-703026,Astrocytoma,1.0
AS-703026,Breast Neoplasms,1.0
AS-703026,"Carcinoma, Hepatocellular",1.0
AS-703026,"Carcinoma, Non-Small-Cell Lung",1.0
AS-703026,Colorectal Neoplasms,1.0
AS-703026,"Leukemia, Myeloid, Acute",2.0
AS-703026,Melanoma,2.0
AS-703026,Neoplasms,1.0
AS-703026,Ovarian Neoplasms,2.0
AS-703026,Pancreatic Neoplasms,1.0
AS-703026,Thyroid Neoplasms,1.0
AS-703026,Urinary Bladder Neoplasms,1.0
ASA-404,"Carcinoma, Non-Small-Cell Lung",3.0
ASA-404,Lung Neoplasms,2.0
ASA-404,Neoplasms,1.0
ASA-404,"Prostatic Neoplasms, Castration-Resistant",2.0
ASA-404,Urinary Bladder Neoplasms,2.0
AST-1306,Lung Neoplasms,2.0
AT-13387,Breast Neoplasms,1.0
AT-13387,"Carcinoma, Non-Small-Cell Lung",1.0
AT-13387,Neoplasms,1.0
AT-13387,"Prostatic Neoplasms, Castration-Resistant",1.0
AT-13387,Triple Negative Breast Neoplasms,1.0
AT-7519,"Leukemia, Lymphocytic, Chronic, B-Cell",2.0
AT-7519,Lymphoma,1.0
AT-7519,"Lymphoma, Mantle-Cell",2.0
AT-7519,Multiple Myeloma,1.0
AT-7519,Neoplasms,1.0
AT-9283,Leukemia,1.0
AT-9283,"Lymphoma, Non-Hodgkin",1.0
AT-9283,Multiple Myeloma,2.0
AT-9283,Neoplasms,1.0
ATN-161,"Carcinoma, Renal Cell",2.0
ATN-161,Central Nervous System Neoplasms,1.0
AV-412,Neoplasms,1.0
AVL-292,"Arthritis, Rheumatoid",2.0
AVL-292,Leukemia,1.0
AVL-292,"Lymphoma, Large B-Cell, Diffuse",1.0
AVN-944,Pancreatic Neoplasms,2.0
AZD-1208,"Leukemia, Myeloid, Acute",1.0
AZD-1208,Lymphoma,1.0
AZD-1208,Neoplasms,1.0
AZD-1480,Carcinoma,1.0
AZD-1480,"Carcinoma, Hepatocellular",1.0
AZD-1480,"Carcinoma, Non-Small-Cell Lung",1.0
AZD-1480,Neoplasms,1.0
AZD-1480,Primary Myelofibrosis,1.0
AZD-1480,Stomach Neoplasms,1.0
AZD-1480,"Thrombocythemia, Essential",1.0
AZD-1981,Asthma,2.0
AZD-1981,Chronic Urticaria,2.0
AZD-1981,Infertility,1.0
AZD-1981,"Pulmonary Disease, Chronic Obstructive",2.0
AZD-2014,Adenocarcinoma,2.0
AZD-2014,Breast Neoplasms,2.0
AZD-2014,"Carcinoma, Non-Small-Cell Lung",2.0
AZD-2014,"Carcinoma, Renal Cell",2.0
AZD-2014,"Carcinoma, Squamous Cell",2.0
AZD-2014,Endometrial Neoplasms,1.0
AZD-2014,Glioblastoma,1.0
AZD-2014,Hereditary Breast and Ovarian Cancer Syndrome,1.0
