sig_id,pert_iname,cell_id,pert_idose,pert_itime,raw_cosine,ncs
LJP005_A375_24H:A07,CP-724714,A375,10.0 um,24 h,0.115738076765066,4.277343522711761
LJP005_A375_24H:A08,CP-724714,A375,3.33 um,24 h,0.02044269006075499,0.7555025136253792
LJP005_A375_24H:A09,CP-724714,A375,1.11 um,24 h,-0.001729249833708763,-0.06087124954649963
LJP005_A375_24H:A10,CP-724714,A375,0.37 um,24 h,0.012708979228404943,0.4696869993203848
LJP005_A375_24H:A11,CP-724714,A375,0.12 um,24 h,-0.0037007111397108004,-0.13026857478523618
LJP005_A375_24H:A12,CP-724714,A375,0.04 um,24 h,-0.005369812608379148,-0.18902254430266296
LJP005_A375_24H:A13,neratinib,A375,10.0 um,24 h,0.012122961348839792,0.44802947872377624
LJP005_A375_24H:A14,neratinib,A375,3.33 um,24 h,-0.02329397876899358,-0.8199703518474233
LJP005_A375_24H:A15,neratinib,A375,1.11 um,24 h,-0.010867069600145857,-0.3825312529022719
LJP005_A375_24H:A16,neratinib,A375,0.37 um,24 h,0.10792093536638205,3.988444656734794
LJP005_A375_24H:A17,neratinib,A375,0.12 um,24 h,-0.022945959037883754,-0.8077197241552654
LJP005_A375_24H:A18,neratinib,A375,0.04 um,24 h,0.06024413000745989,2.2264482568850887
LJP005_A375_24H:A19,crizotinib,A375,10.0 um,24 h,-0.07801243003303214,-2.746112217969605
LJP005_A375_24H:A20,crizotinib,A375,3.33 um,24 h,-0.03322833023811829,-1.169669033652571
LJP005_A375_24H:A21,crizotinib,A375,1.11 um,24 h,0.07657380900669715,2.8299458148852263
LJP005_A375_24H:A22,crizotinib,A375,0.37 um,24 h,0.06639249173227306,2.4536738677987864
LJP005_A375_24H:A23,crizotinib,A375,0.12 um,24 h,0.02303711963261977,0.8513851033013227
LJP005_A375_24H:B07,HG-5-113-01,A375,10.0 um,24 h,-0.0008133237408273606,-0.028629774266806674
LJP005_A375_24H:B08,HG-5-113-01,A375,3.33 um,24 h,-0.08954230708976456,-3.1519749278451186
LJP005_A375_24H:B09,HG-5-113-01,A375,1.11 um,24 h,-0.007645365483348102,-0.2691241838739746
LJP005_A375_24H:B10,HG-5-113-01,A375,0.37 um,24 h,0.04980714207112777,1.840727463919867
LJP005_A375_24H:B11,HG-5-113-01,A375,0.12 um,24 h,-0.008212453283295864,-0.28908621730170736
LJP005_A375_24H:B12,HG-5-113-01,A375,0.04 um,24 h,0.07722361493814302,2.8539607568090632
LJP005_A375_24H:B13,tozasertib,A375,10.0 um,24 h,0.0711051305823139,2.6278393267688656
LJP005_A375_24H:B14,tozasertib,A375,3.33 um,24 h,0.01619680303925974,0.5985868480365734
LJP005_A375_24H:B15,tozasertib,A375,1.11 um,24 h,0.022979895694544634,0.8492702725756783
LJP005_A375_24H:B16,tozasertib,A375,0.37 um,24 h,0.0020804281629471693,0.07688658889081487
LJP005_A375_24H:B17,tozasertib,A375,0.12 um,24 h,0.055331959038792025,2.044908669719371
LJP005_A375_24H:B18,tozasertib,A375,0.04 um,24 h,0.0348644259404169,1.2884880295014387
LJP005_A375_24H:B19,AKT-inhibitor-1-2,A375,10.0 um,24 h,0.01515039395450334,0.5599146042435911
LJP005_A375_24H:B20,AKT-inhibitor-1-2,A375,3.33 um,24 h,0.03866077039366759,1.4287899060399285
LJP005_A375_24H:B21,AKT-inhibitor-1-2,A375,1.11 um,24 h,0.0386872254913398,1.429767609694886
LJP005_A375_24H:B22,AKT-inhibitor-1-2,A375,0.37 um,24 h,0.10968366523999443,4.053590038599841
LJP005_A375_24H:B23,AKT-inhibitor-1-2,A375,0.12 um,24 h,0.03828648358266908,1.4149573514355296
LJP005_A375_24H:B24,AKT-inhibitor-1-2,A375,0.04 um,24 h,0.01720992539185611,0.6360289107847646
LJP005_A375_24H:C01,PD-0325901,A375,10.0 um,24 h,-0.028791434641489047,-1.0134860612390717
LJP005_A375_24H:C02,PD-0325901,A375,3.33 um,24 h,-0.03165538178493887,-1.1142997423270293
LJP005_A375_24H:C03,PD-0325901,A375,1.11 um,24 h,-0.004632663078759837,-0.16307417519147124
LJP005_A375_24H:C04,PD-0325901,A375,0.37 um,24 h,0.011248027229571288,0.4156944521495119
LJP005_A375_24H:C05,PD-0325901,A375,0.12 um,24 h,0.005183601194357535,0.1915708607981508
LJP005_A375_24H:C06,PD-0325901,A375,0.04 um,24 h,-0.01798101763805676,-0.6329490339742907
LJP005_A375_24H:C07,NU-7441,A375,10.0 um,24 h,-0.06455346672403833,-2.2723438253123973
LJP005_A375_24H:C08,NU-7441,A375,3.33 um,24 h,-0.05218477944420235,-1.836954192595906
LJP005_A375_24H:C09,NU-7441,A375,1.11 um,24 h,-0.07884327602323427,-2.7753587921883422
LJP005_A375_24H:C10,NU-7441,A375,0.37 um,24 h,0.013235529634445497,0.48914677463037703
LJP005_A375_24H:C11,NU-7441,A375,0.12 um,24 h,-0.0012385300909694798,-0.04359744483916445
LJP005_A375_24H:C12,NU-7441,A375,0.04 um,24 h,0.021646826669538353,0.8000039090865679
LJP005_A375_24H:C13,vemurafenib,A375,10.0 um,24 h,-0.009603917774017865,-0.33806709941529617
LJP005_A375_24H:C14,vemurafenib,A375,3.33 um,24 h,-0.011586873822289737,-0.4078690505857751
LJP005_A375_24H:C15,vemurafenib,A375,1.11 um,24 h,0.005954092291476354,0.22004597629759037
LJP005_A375_24H:C16,vemurafenib,A375,0.37 um,24 h,-0.006250453881435283,-0.22002196014657122
LJP005_A375_24H:C17,vemurafenib,A375,0.12 um,24 h,0.018282409353529455,0.6756648063767361
LJP005_A375_24H:C18,vemurafenib,A375,0.04 um,24 h,0.030330785719680665,1.1209378405361001
LJP005_A375_24H:C19,mitoxantrone,A375,10.0 um,24 h,0.027935806019938676,1.0324263394636233
LJP005_A375_24H:C20,mitoxantrone,A375,3.33 um,24 h,0.04166559421987878,1.5398394766667478
LJP005_A375_24H:C21,mitoxantrone,A375,1.11 um,24 h,0.005398040278906776,0.19949590720422508
LJP005_A375_24H:C22,mitoxantrone,A375,0.37 um,24 h,-0.040049605549782576,-1.4097844545869553
LJP005_A375_24H:C23,mitoxantrone,A375,0.12 um,24 h,-0.08422444554247813,-2.964781110625342
LJP005_A375_24H:C24,mitoxantrone,A375,0.04 um,24 h,0.04098580528864376,1.5147164500613246
LJP005_A375_24H:D01,dasatinib,A375,10.0 um,24 h,-0.04955660108439484,-1.7444397983921263
LJP005_A375_24H:D02,dasatinib,A375,3.33 um,24 h,-0.0168816491264404,-0.5942502099468576
LJP005_A375_24H:D03,dasatinib,A375,1.11 um,24 h,-0.050399183548400825,-1.7740995077240118
LJP005_A375_24H:D04,dasatinib,A375,0.37 um,24 h,0.00032740089452031637,0.012099787162950385
LJP005_A375_24H:D05,dasatinib,A375,0.12 um,24 h,-0.036381724151981126,-1.280671518144633
LJP005_A375_24H:D06,dasatinib,A375,0.04 um,24 h,-0.09516862351443123,-3.350026652030587
LJP005_A375_24H:D07,barasertib-HQPA,A375,10.0 um,24 h,-0.0035708634538873193,-0.12569781194187957
LJP005_A375_24H:D08,barasertib-HQPA,A375,3.33 um,24 h,-0.04008893969076393,-1.411169054003824
LJP005_A375_24H:D09,barasertib-HQPA,A375,1.11 um,24 h,-0.004061518251264385,-0.14296933051029292
LJP005_A375_24H:D10,barasertib-HQPA,A375,0.37 um,24 h,-0.009217365073818104,-0.3244600743238045
LJP005_A375_24H:D11,barasertib-HQPA,A375,0.12 um,24 h,0.017772307259821752,0.6568129129685597
LJP005_A375_24H:D12,barasertib-HQPA,A375,0.04 um,24 h,0.01731185309841291,0.6397958630930406
LJP005_A375_24H:D13,enzastaurin,A375,10.0 um,24 h,0.012343670393910426,0.45618624467948743
LJP005_A375_24H:D14,enzastaurin,A375,3.33 um,24 h,-0.0010756617409906474,-0.03786432300706611
LJP005_A375_24H:D15,enzastaurin,A375,1.11 um,24 h,0.05939174159526653,2.1949464542317525
LJP005_A375_24H:D16,enzastaurin,A375,0.37 um,24 h,0.0122630870121899,0.4532081166901986
LJP005_A375_24H:D17,enzastaurin,A375,0.12 um,24 h,-0.005142485536473283,-0.18102041375280542
LJP005_A375_24H:D18,enzastaurin,A375,0.04 um,24 h,0.018484981891009628,0.6831512996319241
LJP005_A375_24H:D19,WZ-3105,A375,10.0 um,24 h,0.01589306707777082,0.5873616481386483
LJP005_A375_24H:D20,WZ-3105,A375,3.33 um,24 h,0.025513687176490038,0.9429118543794005
LJP005_A375_24H:D21,WZ-3105,A375,1.11 um,24 h,0.02607078885936711,0.9635007162418893
LJP005_A375_24H:D22,WZ-3105,A375,0.37 um,24 h,0.003039792222934785,0.11234190111481307
LJP005_A375_24H:D23,WZ-3105,A375,0.12 um,24 h,-0.008489356763072487,-0.2988334848677979
LJP005_A375_24H:D24,WZ-3105,A375,0.04 um,24 h,0.03555124440023087,1.3138708470881473
LJP005_A375_24H:E01,GSK-1059615,A375,10.0 um,24 h,-0.014376375691053165,-0.50606218673878
