drug,n_sig,n_cell,raw_cosine_median,ncs_median,ncs_maxq
10-DEBC,42,7,0.02650123802654223,0.8720386655986319,1.3235535136437362
1271738-62-5,15,5,0.005282063066571143,0.19520972592463673,0.772983137559482
"16,16-dimethylprostaglandin-e2",42,7,-0.0022628447470500654,-0.06688677750400501,-0.5505962701335687
17-hydroxyprogesterone-caproate,42,7,0.027758526884259206,0.9603072495720308,1.4749769308859837
"2',5'-dideoxyadenosine",42,7,0.0034238056935058034,0.11990455349050111,0.4607585706212387
2-iminobiotin,42,7,-0.006321292196403518,-0.19342427869783912,-1.0304283157739953
2-methoxyestradiol,42,7,-0.008077981839974711,-0.2520403295981345,-0.6914353003823946
"3,3'-diindolylmethane",42,7,-0.006236871922198982,-0.17801167769706527,0.5841425642077421
3-amino-benzamide,42,7,0.0014498421756563395,0.04913991985656849,-0.7232112515211352
3-deazaadenosine,42,7,0.004191477782222106,0.15278327642810702,0.8982393094766564
"4,5,6,7-tetrabromobenzotriazole",15,5,0.023320317307944264,0.7485342216906995,0.8659573964653737
5-aminolevulinic-acid,42,7,-0.015471102825627973,-0.5021156563949802,-0.8226496989494473
A-443654,132,15,-0.0025975996378874364,-0.07845011182035555,-0.5157623474597754
A-66,132,22,0.01484246592918401,0.4341843252720191,1.0017400834502226
A-769662,114,19,-0.004699617261552354,-0.14522592441763105,-0.6104749586599563
ABT-202,42,7,-0.0012429782457284437,-0.03703183571895103,0.7158028105176923
ABT-239,42,7,0.0006314337545669482,0.02017631147095835,0.38474164728672655
ABT-724,42,7,0.020512761594012906,0.6711330639043804,1.2536848654299624
ABT-737,155,21,0.001961973331942931,0.06226509730367524,0.6425373640901944
ACY-1215,156,21,-0.009952494526376601,-0.2984863361863697,-0.7978305350403491
AEE-788,38,7,0.001904378570232264,0.07038030672229664,-1.5505393368684903
AGI-5198,42,7,-0.011860739655370791,-0.3871661306288171,-0.8456001755108177
AGI-6780,42,7,0.008468673201764256,0.27766246332910116,0.7883440065439314
AGK-2,113,19,0.009652702317819974,0.2984192101500087,0.8040956717278668
AGP-103,42,7,0.006136376705859539,0.19472877648360454,0.8088882720568348
AICA-ribonucleotide,42,7,0.012418334040673416,0.42359551040400056,0.8482920754291674
AKT-inhibitor-1-2,156,15,0.012007282546400488,0.39830548421848344,0.8984428309719849
ALW-II-38-3,114,19,0.00275974115363068,0.09343908657233477,0.5850579215936802
ALW-II-49-7,132,22,0.01633977966525781,0.527138341431385,1.0994277669593315
ALX-5407,42,7,0.00010968963012125113,0.002518629483814601,0.46972706973618683
AM-24,42,7,0.005163536697064944,0.17047981452808494,0.7298760918271153
AMD-11070,42,7,0.02281853851314526,0.741628879628039,1.218674084587705
AMG-208,42,7,0.007036577622133186,0.23216277672609595,0.8472089273129669
AMG-232,42,7,-0.0010366308926766305,-0.029733382225358776,-0.8394158784866547
AMG-487,42,7,0.011025965664314952,0.36670184822793306,0.8625709264065028
AMG-517,41,7,0.01812264518107146,0.6459566146411284,1.0834709568975667
AMG-837,42,7,-0.0012837983855321898,-0.03937445526234894,0.6488013697239783
AP-26113,42,7,-0.006411192837695839,-0.20548398494340825,-0.7902365053525015
APD-668,42,7,-0.002205009866354119,-0.06163582984876653,-0.701777393183928
API-001,42,7,0.009747466870802694,0.3422118922278013,0.9941235360309546
AR-A014418,6,2,-0.02454225034851817,-0.8420974557492622,-1.0701243957478095
ARN-509,42,7,0.009918065784082442,0.32188151108810725,0.7645517180731409
ARP-101,42,7,0.0185426392147635,0.6487908260206783,1.2318462347331396
ARRY-334543,42,7,-0.006282476618852396,-0.20004367370400555,-0.7781523429896338
AS-601245,112,13,-0.01088809912882556,-0.340624898558514,-0.8006002989300126
AS-605240,180,17,0.0038481778644465637,0.12641882787224837,0.5435703735254217
AS-703026,42,7,0.0030251269924586105,0.09623575517117078,0.9119383283528155
ASA-404,42,7,-0.008115220785682505,-0.23190133605896368,-0.7855237118226692
ASC-J9,42,7,-0.007859247890876126,-0.26188918925912114,-0.5251545952005949
AST-1306,132,22,-0.00026066399427630534,-0.00787030138022473,-0.5383738201857118
AT-13387,42,7,-0.018410722481917465,-0.5396524125983855,-1.0083694510997134
AT-7519,180,17,-0.0008423231880279619,-0.025169629398769676,-0.6565778937230824
AT-9283,42,7,-0.009195714327179926,-0.29085005377751527,-0.6886896973215355
AT7867,132,22,-0.008526799801367696,-0.26201859940775785,-0.8157311941374477
ATN-161,42,7,0.00432546607995756,0.14166542565000723,0.5953513676583798
AV-412,40,7,0.02022445558808423,0.6685734381135635,1.2429701785450913
AV-608,42,7,-0.00016686658609722565,-0.002766258610786722,-0.559023593397963
AVL-292,42,7,0.005167679220034308,0.188738194532848,-0.410954691281062
AVN-944,42,7,0.008769145651220073,0.3143745718351624,0.6019518339670585
AZ-20,114,19,-0.012067790571724522,-0.38818560949511693,-1.0208847429478567
AZ-628,174,24,0.008536357597640688,0.2557968853221995,0.7916364857343201
AZD-1208,42,7,0.0051984983381981,0.17477118927760257,1.0108071337242042
AZD-1480,156,21,0.003038400155919276,0.10275675809595111,0.5865470703795775
AZD-1981,42,7,-0.02045061495420637,-0.6198395888757763,-0.9827936603596407
AZD-2014,42,7,-0.013084978745482334,-0.40812849353090486,-0.8869975194255145
AZD-3514,42,7,0.0025799095621315154,0.08160830200255162,0.5067110020143009
AZD-4547,172,24,-0.007732875004528817,-0.23095752441262601,-0.7859682331801544
AZD-5363,42,7,0.005265629494231667,0.1734422335611852,0.7430976346543899
AZD-5438,179,17,-0.0026396765575261213,-0.08312523869727555,-0.5972651158515775
AZD-6482,114,13,-8.3740481580494e-05,-0.002644703570912507,-0.6296274522105714
AZD-7545,42,7,-8.887290406357956e-05,-0.0024948708518864877,0.7238795943554936
AZD-7687,42,7,0.014479067661616761,0.4671574668310162,0.6797605486957293
AZD-7762,293,27,0.013347044266354326,0.438583484616318,0.9342292453170794
AZD-8055,133,15,-0.027411429833617378,-0.8387275473316476,-1.2874172125633836
