rank,drug,reversal_score,safety_score,known_for_disease,novelty_label,final_score,final_rank
10,niclosamide,-0.1712901096962144,1.0,True,known hit (validation evidence),0.9702925495589789,1
5,metronidazole,-0.18069574896238705,1.0,False,novel candidate,0.9087704959692023,2
6,palbociclib,-0.17825473208153833,1.0,False,novel candidate,0.9039749708768258,3
7,PF-04691502,-0.17638845521441157,1.0,False,novel candidate,0.9003085572539439,4
8,perampanel,-0.1740104907328525,1.0,False,novel candidate,0.895636902408144,5
9,PKI-179,-0.1739371709224251,1.0,False,novel candidate,0.8954928612122671,6
13,lacidipine,-0.16621455193490342,1.0,False,novel candidate,0.8803213097887278,7
15,PHA-848125,-0.16304186009188792,1.0,False,novel candidate,0.8740883650422461,8
16,ixazomib,-0.162798369417781,1.0,False,novel candidate,0.8736100129068715,9
1,lidoflazine,-0.18641178705606454,0.75,False,novel candidate,0.8699999980354396,10
17,pentobarbital,-0.1606908634714682,1.0,False,novel candidate,0.8694696901884306,11
19,PFI-1,-0.1593701058866284,1.0,False,novel candidate,0.8668749821432967,12
20,MLN-0128,-0.1577057584397373,1.0,False,novel candidate,0.8636052710623866,13
21,delanzomib,-0.15739721236497614,1.0,False,novel candidate,0.8629991136632796,14
23,lonidamine,-0.15516197750132624,1.0,False,novel candidate,0.8586078597722945,15
110,simvastatin,-0.11017722777675702,1.0,True,known hit (validation evidence),0.8502326019971638,16
25,selinexor,-0.1507963780458739,1.0,False,novel candidate,0.8500313759732115,17
28,MG-132,-0.14720322366563574,1.0,False,novel candidate,0.8429724071777053,18
29,elesclomol,-0.14686078551117024,1.0,False,novel candidate,0.8422996667410413,19
30,ENMD-2076,-0.14612615964459308,1.0,False,novel candidate,0.8408564498569963,20
32,bortezomib,-0.1441411348337225,1.0,False,novel candidate,0.8369567487266175,21
33,withaferin-a,-0.14388650973546002,1.0,False,novel candidate,0.8364565223425041,22
34,AEE-788,-0.14348871320303955,1.0,False,novel candidate,0.8356750270288708,23
35,menadione,-0.14325264616013694,1.0,False,novel candidate,0.8352112590653616,24
37,zardaverine,-0.14251430521845893,1.0,False,novel candidate,0.833760743691902,25
11,LY-2090314,-0.16787548735704122,0.75,False,novel candidate,0.833584317740934,26
40,pevonedistat,-0.14101867912380223,1.0,False,novel candidate,0.8308224958977098,27
44,CYT-997,-0.14033155653078444,1.0,False,novel candidate,0.8294726020636246,28
45,SGI-1776,-0.14010933664176628,1.0,False,novel candidate,0.8290360376702471,29
54,indibulin,-0.1383844025655379,1.0,False,novel candidate,0.8256473004967574,30
14,oprozomib,-0.16358438264157138,0.75,False,novel candidate,0.8251541833578009,31
56,YM-155,-0.13804724789949283,1.0,False,novel candidate,0.8249849397922017,32
60,buparlisib,-0.13450429382166132,1.0,False,novel candidate,0.8180245925227182,33
61,AZD-2014,-0.13444021983451426,1.0,False,novel candidate,0.8178987153050951,34
18,ixazomib-citrate,-0.15963668466876796,0.75,False,novel candidate,0.8173986922613524,35
2,JWE-035,-0.18446844586571756,0.5,False,novel candidate,0.8161821868951423,36
63,palomid-529,-0.13283337687810962,1.0,False,novel candidate,0.8147419752688411,37
3,lomitapide,-0.18128270317530987,0.5,False,novel candidate,0.8099236029707274,38
4,IKK-2-inhibitor-V,-0.18073471820910156,0.5,False,novel candidate,0.8088470534079961,39
66,amitriptyline,-0.12953543608672452,1.0,False,novel candidate,0.8082629713986341,40
67,sitagliptin,-0.12903324818771525,1.0,False,novel candidate,0.8072763929404182,41
68,taselisib,-0.12876805747937872,1.0,False,novel candidate,0.8067554097771837,42
69,azacitidine,-0.12850997407884465,1.0,False,novel candidate,0.806248389349387,43
71,osimertinib,-0.1268120318009825,1.0,False,novel candidate,0.8029126791940095,44
74,PCI-24781,-0.1258323145074886,1.0,False,novel candidate,0.8009879653990145,45
75,R-547,-0.12560944988037873,1.0,False,novel candidate,0.8005501343787157,46
76,PF-03758309,-0.12293211443188333,1.0,False,novel candidate,0.7952903471872791,47
77,GSK-2334470,-0.12211354895214421,1.0,False,novel candidate,0.7936822258634816,48
79,tioguanine,-0.12123075995245117,1.0,False,novel candidate,0.7919479335558307,49
80,PLX-4720,-0.12099904296591787,1.0,False,novel candidate,0.7914927115407893,50
85,dacomitinib,-0.11756341605674056,1.0,False,novel candidate,0.7847432149763592,51
38,volasertib,-0.14248460031221402,0.75,False,novel candidate,0.7837023866094984,52
87,anagrelide,-0.1169046650166202,1.0,False,novel candidate,0.7834490587714961,53
12,cilengitide,-0.16737116500961083,0.5,False,novel candidate,0.7825935460298806,54
91,CYT387,-0.11529575417827914,1.0,False,novel candidate,0.7802882562562842,55
93,floxuridine,-0.11472217689624863,1.0,False,novel candidate,0.7791614290434229,56
94,altrenogest,-0.11446460051334441,1.0,False,novel candidate,0.7786554046823823,57
95,erteberel,-0.11434127258396493,1.0,False,novel candidate,0.7784131195164867,58
49,BGT-226,-0.1394325776571376,0.75,False,novel candidate,0.7777065037707727,59
50,clofazimine,-0.13940233606080998,0.75,False,novel candidate,0.7776470923282872,60
98,sunitinib,-0.113897037817915,1.0,False,novel candidate,0.7775403934881613,61
99,sertindole,-0.11370284077236238,1.0,False,novel candidate,0.7771588816632659,62
51,CEP-37440,-0.13913195882111026,0.75,False,novel candidate,0.7771159199109392,63
52,perhexiline,-0.13893716778206425,0.75,False,novel candidate,0.7767332411499508,64
101,clonidine,-0.1131111823103599,1.0,False,novel candidate,0.7759965328803016,65
55,NVP-BEZ235,-0.1382638011405102,0.75,False,novel candidate,0.7754103717133335,66
103,voxtalisib,-0.1127846413054751,1.0,False,novel candidate,0.7753550233541281,67
57,hexachlorophene,-0.13752263723417524,0.75,False,novel candidate,0.7739543104553067,68
109,dacinostat,-0.11057188923664088,1.0,False,novel candidate,0.77100793827145,69
313,naproxen,-0.0693343596277595,1.0,True,known hit (validation evidence),0.7699943207342155,70
111,tanaproget,-0.11001107969143394,1.0,False,novel candidate,0.7699061940487107,71
58,dequalinium,-0.1350480489689176,0.75,False,novel candidate,0.7690928323506498,72
113,podophyllotoxin,-0.1088129316739826,1.0,False,novel candidate,0.7675523599039541,73
114,resminostat,-0.10865318738961269,1.0,False,novel candidate,0.7672385326092436,74
116,OSI-027,-0.10847030889437029,1.0,False,novel candidate,0.7668792567600383,75
118,KX2-391,-0.10800183796281874,1.0,False,novel candidate,0.7659589173207948,76
62,TG-101348,-0.1329187641929118,0.75,False,novel candidate,0.7649097238059023,77
123,istaroxime,-0.1064568749239821,1.0,False,novel candidate,0.7629237441199608,78
126,aminoglutethimide,-0.10570894735006302,1.0,False,novel candidate,0.7614543952284603,79
