drug,specificity_rank,raw_cosine,null_mean,null_sd,specificity_z,pct_below,emp_p
metronidazole,1,-0.107238,0.000807,0.008632,-12.516956,0.0,0.001996
indibulin,2,-0.107286,-0.000133,0.009117,-11.753297,0.0,0.001996
erteberel,3,-0.100946,-0.000427,0.008825,-11.390592,0.0,0.001996
dolastatin-10,4,-0.099852,0.000336,0.008873,-11.290793,0.0,0.001996
gliquidone,5,-0.103374,-0.000208,0.009272,-11.126109,0.0,0.001996
perampanel,6,-0.092946,0.000781,0.00846,-11.078717,0.0,0.001996
ixazomib-citrate,7,-0.09624,0.000706,0.008904,-10.888075,0.0,0.001996
pevonedistat,8,-0.099211,0.000233,0.009208,-10.799262,0.0,0.001996
palbociclib,9,-0.100198,-5e-05,0.009424,-10.626433,0.0,0.001996
WYE-125132,10,-0.093485,-1.7e-05,0.008881,-10.524654,0.0,0.001996
JWE-035,11,-0.101046,-0.000373,0.009569,-10.520762,0.0,0.001996
combretastatin-A-4,12,-0.0913,6.1e-05,0.008888,-10.278861,0.0,0.001996
niclosamide,13,-0.089502,-0.000321,0.00874,-10.203596,0.0,0.001996
ixazomib,14,-0.087321,0.00077,0.008697,-10.129532,0.0,0.001996
GW-5074,15,-0.097806,0.000285,0.009714,-10.097757,0.0,0.001996
lacidipine,16,-0.083727,0.000664,0.008363,-10.091547,0.0,0.001996
delanzomib,17,-0.084786,0.000717,0.00862,-9.918882,0.0,0.001996
exemestane,18,-0.084571,-3e-06,0.008553,-9.887896,0.0,0.001996
oprozomib,19,-0.084064,0.00078,0.008664,-9.792335,0.0,0.001996
pentobarbital,20,-0.082603,0.000685,0.008523,-9.772196,0.0,0.001996
digoxin,21,-0.081755,0.000189,0.008429,-9.72189,0.0,0.001996
volasertib,22,-0.087195,-0.000408,0.008985,-9.659221,0.0,0.001996
CYT-997,23,-0.085469,0.000344,0.008924,-9.616025,0.0,0.001996
PFI-1,24,-0.08332,-4.6e-05,0.008699,-9.572751,0.0,0.001996
clofibric-acid,25,-0.085227,-0.000152,0.008901,-9.557533,0.0,0.001996
pimavanserin,26,-0.086779,-0.000232,0.009222,-9.385197,0.0,0.001996
CYT387,27,-0.079196,0.00033,0.008577,-9.272304,0.0,0.001996
nemonapride,28,-0.08292,0.000183,0.009005,-9.228701,0.0,0.001996
PLX-4720,29,-0.074886,-4.2e-05,0.008155,-9.177388,0.0,0.001996
IKK-2-inhibitor-V,30,-0.078138,0.000249,0.008579,-9.136917,0.0,0.001996
honokiol,31,-0.07848,0.0003,0.008704,-9.050979,0.0,0.001996
LY-2090314,32,-0.078631,0.000332,0.008727,-9.047892,0.0,0.001996
N6022,33,-0.083474,-0.000217,0.009232,-9.01813,0.0,0.001996
PSI-7976,34,-0.077904,0.000607,0.008784,-8.93818,0.0,0.001996
PF-04691502,35,-0.080583,-0.000497,0.009131,-8.771139,0.0,0.001996
I-BET-151,36,-0.07688,-3e-05,0.008885,-8.649372,0.0,0.001996
propafenone,37,-0.076612,0.000155,0.00893,-8.596058,0.0,0.001996
PHA-848125,38,-0.074811,3e-05,0.008713,-8.589943,0.0,0.001996
NVP-TAE684,39,-0.079351,-0.000772,0.009237,-8.506954,0.0,0.001996
podophyllotoxin,40,-0.07193,0.000507,0.008615,-8.408464,0.0,0.001996
clonidine,41,-0.077513,0.000389,0.009282,-8.393083,0.0,0.001996
torin-1,42,-0.070885,0.00019,0.008599,-8.265789,0.0,0.001996
MG-132,43,-0.066897,0.000595,0.008191,-8.24012,0.0,0.001996
bortezomib,44,-0.066146,0.000609,0.00821,-8.130757,0.0,0.001996
OSI-027,45,-0.074682,-0.00024,0.00916,-8.127014,0.0,0.001996
L-citrulline,46,-0.070122,0.000151,0.008666,-8.108848,0.0,0.001996
lonidamine,47,-0.069469,0.000936,0.008737,-8.058536,0.0,0.001996
metergoline,48,-0.072798,-0.000406,0.008996,-8.046724,0.0,0.001996
tioguanine,49,-0.071586,-1e-05,0.008913,-8.030276,0.0,0.001996
istaroxime,50,-0.072054,4e-06,0.008975,-8.029108,0.0,0.001996
rondual-kinase-inhibitor,51,-0.072964,-0.000284,0.009065,-8.017304,0.0,0.001996
bardoxolone-methyl,52,-0.064558,0.000314,0.008147,-7.96303,0.0,0.001996
salermide,53,-0.070604,0.00042,0.009048,-7.849563,0.0,0.001996
MLN-0128,54,-0.066435,3.4e-05,0.00849,-7.828758,0.0,0.001996
palomid-529,55,-0.074069,7.7e-05,0.009472,-7.827618,0.0,0.001996
tipranavir,56,-0.073508,0.000325,0.009525,-7.751514,0.0,0.001996
TAK-285,57,-0.070001,0.000236,0.009183,-7.648419,0.0,0.001996
triclosan,58,-0.063777,0.0005,0.008438,-7.617781,0.0,0.001996
lomitapide,59,-0.067138,-9.3e-05,0.008896,-7.536173,0.0,0.001996
azithromycin,60,-0.06786,-0.000205,0.008978,-7.535419,0.0,0.001996
PKI-179,61,-0.064332,-0.00011,0.008639,-7.434179,0.0,0.001996
rosiglitazone,62,-0.065495,0.000112,0.008862,-7.40333,0.0,0.001996
YM-155,63,-0.06189,0.000696,0.008492,-7.369879,0.0,0.001996
XMD-1150,64,-0.061671,-0.000236,0.00834,-7.365918,0.0,0.001996
BIIB-021,65,-0.063069,-0.000239,0.008564,-7.33616,0.0,0.001996
BGT-226,66,-0.058899,0.000332,0.008166,-7.253738,0.0,0.001996
AZ-20,67,-0.065497,-0.000147,0.009059,-7.213882,0.0,0.001996
finasteride,68,-0.064745,0.000438,0.009051,-7.202055,0.0,0.001996
aminosalicylic-acid,69,-0.066154,-0.000425,0.009189,-7.153285,0.0,0.001996
tanaproget,70,-0.062878,0.000419,0.008857,-7.14697,0.0,0.001996
irinotecan,71,-0.061297,0.00014,0.008663,-7.092095,0.0,0.001996
SB-271046,72,-0.063831,-0.000294,0.008963,-7.088513,0.0,0.001996
selamectin,73,-0.064644,0.000109,0.009149,-7.077546,0.0,0.001996
CHIR-99021,74,-0.06182,0.000254,0.008821,-7.037123,0.0,0.001996
SYK-inhibitor,75,-0.061429,0.000259,0.008834,-6.98264,0.0,0.001996
I-BET-762,76,-0.063118,0.000236,0.009084,-6.974154,0.0,0.001996
danusertib,77,-0.063374,-0.000114,0.009152,-6.91227,0.0,0.001996
NVP-BEZ235,78,-0.057202,0.000141,0.00831,-6.900629,0.0,0.001996
taselisib,79,-0.064183,-0.000818,0.009211,-6.879263,0.0,0.001996
ENMD-2076,80,-0.064281,-0.000759,0.009365,-6.783204,0.0,0.001996
SGI-1776,81,-0.060244,-0.000697,0.008868,-6.71491,0.0,0.001996
cilengitide,82,-0.05853,0.000426,0.008827,-6.67944,0.0,0.001996
sitagliptin,83,-0.058294,6.9e-05,0.008754,-6.667003,0.0,0.001996
KIN001-127,84,-0.055853,-0.000459,0.008312,-6.664089,0.0,0.001996
thiomersal,85,-0.060331,0.000123,0.009088,-6.651827,0.0,0.001996
tioconazole,86,-0.058017,0.000421,0.008791,-6.647126,0.0,0.001996
troglitazone,87,-0.058168,-0.000162,0.008751,-6.628347,0.0,0.001996
riluzole,88,-0.058805,5.9e-05,0.008883,-6.626888,0.0,0.001996
amlodipine,89,-0.059675,-0.000896,0.008883,-6.616886,0.0,0.001996
buparlisib,90,-0.054729,0.000111,0.008319,-6.592422,0.0,0.001996
NMS-1286937,91,-0.057971,9e-05,0.008842,-6.566674,0.0,0.001996
SB-705498,92,-0.060097,-0.000363,0.009126,-6.545557,0.0,0.001996
ethylenediaminetetraacetic-acid,93,-0.061801,-0.000527,0.009367,-6.54115,0.0,0.001996
JQ1-(+),94,-0.060049,0.000329,0.0093,-6.491973,0.0,0.001996
AZD-8055,95,-0.055431,2e-05,0.008581,-6.462186,0.0,0.001996
selinexor,96,-0.058435,-0.000766,0.008943,-6.448578,0.0,0.001996
HMN-214,97,-0.060119,-0.000641,0.009243,-6.435205,0.0,0.001996
thiothixene,98,-0.058687,-0.000134,0.009104,-6.431656,0.0,0.001996
simvastatin,99,-0.056379,4.3e-05,0.008991,-6.275063,0.0,0.001996
tosedostat,100,-0.056084,0.000107,0.008956,-6.274433,0.0,0.001996
piperidolate,101,-0.055467,-0.000126,0.008855,-6.249592,0.0,0.001996
JTC-801,102,-0.05577,0.000674,0.009057,-6.232133,0.0,0.001996
lacitol,103,-0.056169,-0.000553,0.008928,-6.229219,0.0,0.001996
atorvastatin,104,-0.055667,0.000205,0.008982,-6.22016,0.0,0.001996
filgotinib,105,-0.055299,-0.000529,0.008828,-6.203944,0.0,0.001996
GSK-2334470,106,-0.057772,-0.000945,0.009186,-6.186668,0.0,0.001996
AZD-1981,107,-0.057771,-0.000147,0.009327,-6.178457,0.0,0.001996
azacitidine,108,-0.052663,0.001014,0.008704,-6.166694,0.0,0.001996
VX-661,109,-0.053048,-0.000123,0.00862,-6.139497,0.0,0.001996
apocynin,110,-0.056455,-0.000144,0.00921,-6.114276,0.0,0.001996
enzalutamide,111,-0.053848,-6.9e-05,0.008852,-6.075345,0.0,0.001996
