drug,indication,in_l1000_pool,ra_label
AVL-292,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
AVL-292,Leukemia,True,reported RA investigation (not approved)
AVL-292,"Lymphoma, Large B-Cell, Diffuse",True,reported RA investigation (not approved)
IB-MECA,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
IPI-145,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
IPI-145,Asthma,True,reported RA investigation (not approved)
IPI-145,"Carcinoma, Squamous Cell",True,reported RA investigation (not approved)
IPI-145,Hematologic Neoplasms,True,reported RA investigation (not approved)
IPI-145,Leukemia,True,reported RA investigation (not approved)
IPI-145,"Leukemia, Lymphocytic, Chronic, B-Cell",True,reported RA investigation (not approved)
IPI-145,"Leukemia, Lymphoid",True,reported RA investigation (not approved)
IPI-145,Liver Diseases,True,reported RA investigation (not approved)
IPI-145,Lymphoma,True,reported RA investigation (not approved)
IPI-145,"Lymphoma, Follicular",True,reported RA investigation (not approved)
IPI-145,"Lymphoma, Large B-Cell, Diffuse",True,reported RA investigation (not approved)
IPI-145,"Lymphoma, Non-Hodgkin",True,reported RA investigation (not approved)
IPI-145,"Lymphoma, T-Cell, Peripheral",True,reported RA investigation (not approved)
IPI-145,Melanoma,True,reported RA investigation (not approved)
IPI-145,Mycosis Fungoides,True,reported RA investigation (not approved)
IPI-145,Neoplasms,True,reported RA investigation (not approved)
IPI-145,Precursor Cell Lymphoblastic Leukemia-Lymphoma,True,reported RA investigation (not approved)
IPI-145,Severe Acute Respiratory Syndrome,True,reported RA investigation (not approved)
IPI-145,Sezary Syndrome,True,reported RA investigation (not approved)
MK-0812,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
MK-0812,"Multiple Sclerosis, Relapsing-Remitting",True,reported RA investigation (not approved)
PH-797804,"Arthritis, Rheumatoid (investigational, not approved)",True,reported RA investigation (not approved)
PH-797804,"Neuralgia, Postherpetic",True,reported RA investigation (not approved)
